Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Singapore,MtCO2e,30.86,34.00,36.63,43.09,46.62,47.93,49.32,49.41,48.75,49.97,54.82,54.74,54.00,50.88,52.36,49.63,50.07,51.33,51.62,52.16,55.90,58.96,58.56,59.45,60.61,62.33,63.81,67.59,66.56,67.26
Belarus,MtCO2e,104.75,99.71,86.09,73.30,60.13,52.10,52.92,53.33,51.33,49.01,46.39,53.02,52.53,53.62,57.44,58.28,61.51,60.22,64.35,61.37,65.99,71.69,73.25,73.72,72.93,68.34,62.55,63.93,66.75,65.33
Papua New Guinea,MtCO2e,37.96,38.96,40.01,41.07,41.95,45.47,44.89,59.44,45.88,47.02,48.40,48.32,49.12,49.11,50.57,49.40,49.16,48.96,48.09,48.18,48.18,56.23,56.92,58.10,59.67,62.33,63.03,63.11,63.62,63.47
Hungary,MtCO2e,90.72,85.68,75.79,76.26,75.99,74.30,76.51,74.82,74.74,75.52,72.54,75.44,73.79,76.52,75.35,74.66,73.95,71.77,70.39,64.55,64.51,62.83,58.95,56.59,56.89,59.82,60.78,62.81,62.90,62.48
Serbia,MtCO2e,79.56,69.09,62.85,57.52,53.57,60.06,67.44,72.45,72.07,54.92,57.71,26.16,29.52,32.73,37.96,31.42,33.63,32.57,30.33,27.87,27.40,64.48,59.63,60.35,52.34,58.66,62.87,63.27,61.50,61.86
Portugal,MtCO2e,57.74,59.47,63.51,62.42,64.33,68.09,66.50,68.82,74.02,80.72,80.24,78.64,83.66,78.82,80.70,83.78,78.52,77.13,74.87,74.08,68.68,66.40,64.70,63.02,62.61,66.72,66.88,71.85,66.75,61.70
South Sudan,MtCO2e,37.09,37.97,40.40,42.32,44.32,45.11,49.29,54.21,59.52,62.91,65.31,60.36,64.26,67.14,69.63,72.94,71.94,75.93,76.95,79.04,78.26,74.60,59.76,60.64,62.57,63.08,66.77,64.25,67.14,60.33
Mongolia,MtCO2e,34.33,36.57,34.34,33.13,31.33,32.25,31.57,33.73,33.36,33.46,34.62,31.34,29.54,29.30,29.10,31.86,34.77,37.50,37.72,38.80,36.07,38.82,42.18,44.63,47.10,48.65,50.97,53.86,55.74,59.15
Uganda,MtCO2e,30.34,31.00,31.34,31.67,31.33,32.15,33.08,34.56,35.93,35.63,35.46,35.11,36.12,38.08,38.19,40.18,38.81,41.40,47.92,48.68,50.36,50.34,51.97,51.88,52.95,54.91,56.13,57.15,58.68,59.15
Ireland,MtCO2e,54.02,54.55,54.72,55.37,56.79,57.60,58.95,60.38,63.67,65.39,68.59,71.17,70.42,70.68,69.90,71.16,71.75,70.01,69.05,63.80,62.44,58.70,60.07,59.12,59.29,61.18,63.20,62.70,60.90,58.68
Finland,MtCO2e,38.54,38.43,35.32,36.56,43.21,39.23,45.69,43.79,40.18,39.51,38.20,59.34,61.78,69.97,66.11,53.93,65.35,63.52,55.43,51.80,59.98,12.10,6.46,7.24,3.20,-0.28,63.65,60.86,62.43,58.42
Burkina Faso,MtCO2e,25.52,25.96,26.25,26.50,26.96,27.34,27.27,27.83,28.69,28.58,29.92,31.84,32.54,35.99,36.53,37.17,37.13,37.77,38.66,39.35,40.94,30.86,31.57,32.52,33.02,33.91,53.52,54.46,55.25,56.31
Chile,MtCO2e,28.09,27.04,28.54,31.09,35.10,39.00,45.49,52.71,53.75,56.63,52.66,31.74,32.43,33.16,38.52,39.17,40.41,48.15,53.01,50.50,55.63,16.91,19.32,22.52,15.25,21.32,48.81,50.93,49.87,55.33
